MÃ 一级编码,一级编码名称, SẢN PHẨM 类别,MÃ SẢN PHẨM 类别编码,TÊN VẬT PHẨM 物品名称,MÃ VẬT PHẨM 物品编码,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bàn ga 宝狮速度控制器,F0810029,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,ổ 1 kim điện tử电脑平车梳床 ,F0810030,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,đầu cắm dây hơi 8mm ( đầu đực) 接头,F0810031,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,dây hơi 8mm 气管,F0810032,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,mút trải bàn ủi 烫台海绵,F0810033,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,mặt nạ bàn ủi小烫靴（大号）（熨斗靴）,F0810034,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,van cầu hơi 42mm 不锈钢高温蒸汽截止阀,F0810035,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,cò nhấn bàn ủi 熨斗按压杆,F0810036,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,vải lót bàn ủi 烫台布 ,F0810037,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bàn ủi hơi 烫斗,F0810038,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,phấn thỏ trắng 白色粉笔,F0810039,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,phấn rôm 50g 爽身粉,F0810040,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,ống inox 5*15*150cm k hoa don 不锈钢管,F0810041,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,chân bánh xe máy may 衣车脚轮（方向轮）,F0810042,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,cao su đánh suốt máy 1 kim 绕线胶圈,F0810043,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,thước dây  19mm 皮尺,F0810044,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,công tắc hành trình 行程开关15A,F0810045,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,công tắc hành trình 行程开关103V,F0810046,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,活页袋 bìa nút A4,F0810047,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Bàn chải đánh răng 牙刷,F0810048,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,ổ cắm điện cho chuyền 插座(车间用）,F0810049,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,phấn rôm size lớn 爽身粉 (380G),F0810050,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,hộp mực in 35/85A( XNK) 打印机黑水,F0810051,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,sáp chà bàn ủi 烫斗擦蜡,F0810052,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,xịt RP7 多用途润滑剂 RP7,F0810053,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,công tắc bàn ủi 烫斗开关,F0810054,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bao tay vải 布手套,F0810055,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,vít tôn 5F 自攻丝,F0810056,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Bồn nhựa 2000L 储油桶,F0810057,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Đèn cần máy may ánh sáng tím  紫光车头灯,F0810058,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,dây curoa A85 皮带,F0810059,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,kẹp vải 8cm 布夹子,F0810060,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"dây thun trung 橡皮筋
",F0810061,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,đạn nhựa 1inch  枪针 (黑色）,F0810062,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,đạn nhựa 2inch 枪针(黑色）,F0810063,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,đạn nhựa 3inch 枪针(黑色）,F0810064,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,đạn nhựa 1inch  枪针（白色）,F0810062,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,đạn nhựa 2inch 枪针（白色）,F0810063,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,đạn nhựa 3inch 枪针（白色）,F0810064,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bánh xe máy may 脚轮,F0810065,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,chai vệ sinh máy cắt 自动裁床清洁剂（清洁剂）,F0810066,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,cùi móc kansai đầu túm  下弯针座,F0810067,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bạc đạn 6205轴承,F0810068,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bánh xe có đế 脚轮,F0810069,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,kéo lớn 大剪刀,F0810070,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,thuyền 1 kim 单针梭壳(1790梭壳),F0810071,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,chai xịt 喷水壶,F0810072,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"vải lót bàn ủi (bóng)烫台布 (光滑)
",F0810073,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,dây bàn ủi 3m 烫斗气管,F0810074,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,thanh thiếc hàn  焊锡条 ,F0810075,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Mực Shiny đánh số máy giấy 号码印油,F0810076,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,vải không dệt 无纺布,F0810077,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,hộp mực in HP 45 打印机黑水,F0810078,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Móc kansai Siruba đầu bằng  绷缝机下弯针,F0810079,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"Bàn lừa trước, sau 绷缝机前后送布牙",F0810080,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Mặt nguyệt kansai SiRuBa đầu bằng  绷缝机针板,F0810081,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,đầu cắm dây hơi 8 li 接头,F0810082,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,van tiết lưu khí nén 气节流阀,F0810083,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"Đầu nối răng ngoài ra ống 8 li 
外螺纹直通快速接头 - 8mm",F0810084,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,túi nilong có quai 手提塑料袋 ,F0810085,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,túi nilong không quai 平口塑胶袋,F0810086,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,đèn máy may衣车灯,F0810087,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Dây hàn 电线,F0810088,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Chân vịt nhún thun 1/4 平车松紧带压脚 1/4,F0810089,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Đầu chia 8 ly 气管三通,F0810090,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Mực máy in máy in 3 liên  针孔打印机黑盒,F0810091,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,dây đai buộc thùng (trắng) 封箱带,F0810092,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bàn chải 刷子,F0810093,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Đèn led dấu trừ 直线激光灯,F0810094,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,ruột bút bạc中性水银笔(银笔)-笔芯,F0810095,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Dao cắt răng cưa 6 inch 电剪刀波刀刀片,F0810096,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,mũi khoan máy fom tay 3mm 手动模板开槽机钻头,F0810097,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"chân vịt 2 kim 1/8 mí phải 1 ly + Cự ly 2 kim 1/8 di động
  双针车右傍压脚+ 双针车双跳针位",F0810097,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,ốc đầu dù 2cm 带钻自攻螺丝(螺丝),F0810098,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bát chữ L 5cm 90度角码,F0810099,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,kẽm cách nhiệt 0.6mm电热丝,F0810100,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,súng xịt hơi 气枪,F0810101,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bàn lừa nhựa 胶牙,F0810102,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,suốt 2 kim 双针车梳芯,F0810103,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,thùng nhớt máy nén khí 压缩机油,F0810104,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Kim táo vắt sổ 4 chỉ KINGTEX 宝狮四线拷边机针头,F0810105,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,ốc dù bắt cử 定位螺丝,F0810106,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,dây điện  cho máy cắt đứng 电源线,F0810107,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"Inox 304 làm cử viền 0,3mm 不锈钢薄板",F0810108,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,vòng nhựa 1 kim 滚轮压脚的胶圈,F0810109,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Lò xo (súng bắn tẩy A-15 ()YH-170) 弹簧 (去污喷枪气缸组件)  ,F0810110,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,mực bút lông dầu （màu xanh） 记号笔的墨水(蓝色）,F0810111,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"Thuyền 1 Kim Điện Tử Hiệu Towa No.Bc-Db1-Nbl6
TOWA 梭壳",F0810112,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"Suốt 1 Kim No.55623A
梭芯（100个/盒）",F0810113,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"Mouse 1000x5x2mm
模板定位条 1000x5x2mm",F0810114,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"Tấm lót bằng cao su xốp dùng cho máy may công nghiệp 
1500X800X12MM, màu trắng 烫台垫 1500x800x12mm",F0810115,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Chai xịt cứng vải 821 布边防松脱剂,F0810116,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Giấy纸类,F0811,Giấy đánh số 裁床编码标签纸(裁床用),F0811001,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kim bấm针,F0901,Kim bấm 订书针,F0901001,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kim bấm针,F0901,Đồ gỡ kim 起钉器,F0901002,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kim bấm针,F0901,Đồ bấm kim 订书机,F0901003,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kim bấm针,F0901,Bấm 2 lỗ EG 837 纸张打孔器,F0901004,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kim bấm针,F0901,Kim bấm lớn 23/13 订书针 (大）23/13,F0901005,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kim bấm针,F0901,Bấm 2 lỗ KW - 978 30 tờ 纸张打孔器 (30 页）,F0901006,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kim bấm针,F0901,máy bấm kim 订书机 (大）,F0901007,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bìa - file文件夹,F0902,Ruột file thường 文件内页（软）(bìa lá lỗ),F0902001,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bìa - file文件夹,F0902,Bìa lá 塑胶文件夹,F0902002,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bìa - file文件夹,F0902,Bìa 1 nút Myclear F4 / 单口文件袋A4,F0902003,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bìa - file文件夹,F0902,Bìa còng tròn 2F5 nhựa A4 活页夹,F0902004,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bìa - file文件夹,F0902,File còng đựng hồ sơ 件夹（大）,F0902005,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bìa - file文件夹,F0902,Bìa Ép Plastic A4过塑,F0902006,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bìa - file文件夹,F0902,Bìa acco  塑胶文件夹,F0902007,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bìa - file文件夹,F0902,File trình ký 签字文件夹,F0902008,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bìa - file文件夹,F0902,Bìa hồ sơ 50 lá A4 活页资料册 50页,F0902009,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bìa - file文件夹,F0903,Bìa kiếng A4 封面膠片A4,F0902010,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Viết笔,F0903,Viết xóa kéo 修正液,F0903001,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Viết笔,F0903,Bút xóa nước 修正液,F0903002,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Viết笔,F0903,Viết chì 铅笔,F0903003,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Viết笔,F0903,Bút dạ quang 荧光笔,F0903004,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Viết笔,F0903,bút lông dầu  đen 记号笔,F0903005,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Viết笔,F0903,bút lông bảng 白板笔,F0903006,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Viết笔,F0903,Viết  Bi Xanh  圆珠笔（蓝色）,F0903007,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Viết笔,F0903,bút lông dầu đầu nhỏ 小记号笔,F0903008,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kẹp夹子,F0904,Kẹp bướm nhỏ 15mm 长尾夹15mm,F0904001,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kẹp夹子,F0904,Kẹp bướm trung 25mm长尾夹25mm,F0904002,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kẹp夹子,F0904,Kẹp bướm lớn(大）长尾夹 32 mm ,F0904003,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kẹp夹子,F0904,kẹp giấy 回形针,F0904004,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kẹp夹子,F0904,Ghim kẹp C32 inox 回形针,F0904005,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kẹp夹子,F0904,Kẹp bướm lớn (大）51mm 长尾夹51mm,F0904006,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kẹp夹子,F0904,Kẹp bướm lớn 41mm 长尾夹41mm,F0904007,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Kẹp夹子,F0904,Nẹp acco nhựa UNI 塑料装订夹,F0904007,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bao Thư信封,F0905,Bao Thư Trắng A4( 25 X 35),F0905001,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bao Thư信封,F0905,Bao Thư Trắng ( 12 X 22) 小信封,F0905002,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Bao Thư信封,F0905,Bao Thư Trắng ( 25 X 35) 大信封,F0905003,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,Giấy vệ sinh cuộn  纸巾（卷）,F0906001,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,Tem dán Tommy 標籤,F0906002,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,Giấy A4 A4纸,F0906003,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,giấy cứng màu A4,F0906004,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,giấy A3 A3纸,F0906005,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,"Giấy note vàng 2* 1,5 VN 便签纸
 (38mmx51mm) (Beautone)",F0906006,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,Khăn giấy hộp 纸巾盒,F0906007,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,giấy decal trắng đế vàng  A4 贴纸（办公文具）,F0906008,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,giấy da bò 牛皮纸（牛卡纸),F0906009,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,Giấy note trình ký 5 màu ( nhựa ) 箭头便利贴,F0906010,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Giấy纸类,F0906,giấy decal A4 màu  A4 贴纸（蓝色，橙色）,F0906011,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,"Chổi cước quét nước nhà vệ sinh
厕所刮水扫把 ",F0907001,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,Đồ hốt rác có tay cầm loại dài 长柄簸箕,F0907002,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,Lau kính gift 540ml 玻璃清洁剂,F0907003,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,Tẩy Gift 马桶清洁剂,F0907004,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,Chổi cỏ  扫把,F0907005,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,Bột giặt 洗衣粉,F0907006,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,chổi lông gà 60cm  鸡毛掸子,F0907007,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,Túi rác loại trung 垃圾袋（中）,F0907008,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,găng tay 塑胶手套,F0907009,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,nước giặt omo 洗衣液,F0907010,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,chât thông bồn cầu 管道疏通剂（清洁剂）,F0907011,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,chai tẩy vim 马桶清洁剂,F0907012,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,Gạt nước 地板刮水器,F0907013,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,nước tẩy javel 彩漂液,F0907014,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,nước rửa tay 洗手液,F0907015,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,Nước lau sàn 地板清洁剂 ,F0907016,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,Xịt phòng Spring 除臭喷雾,F0907017,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Dụng cụ vệ sinh清洁用品,F0907,cọ toilet 马桶刷,F0907018,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Khác 其它,F0908,Phiếu xuất kho A4 出库单,F0908001,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Khác 其它,F0908,Tập 100 trang 本子（100页）,F0908002,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Khác 其它,F0908,Tập 96 trang 本子（96页）,F0908003,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Khác 其它,F0908,Cắt keo văn phòng nhỏ 胶带切割器,F0908004,,,,,,,,,,,,,,,,,,,,,
F09 ( VPP),"văn phòng phẩm
办公文具",Khác 其它,F0908,Kéo cắt VP 办公室剪刀,F0908005,,,,,,,,,,,,,,,,,,,,,
